artist	album	track_no	title	length	file	size
'Til Tuesday	Coming up Close: A Retrospective	1	Love in a Vacuum	3:37	'Til Tuesday\Coming up Close- A Retrospective\01-Love in a Vacuum.mp3	5224841
'Til Tuesday	Coming up Close: A Retrospective	2	Voices Carry [Single]	4:23	'Til Tuesday\Coming up Close- A Retrospective\02-Voices Carry [Single].mp3	6319094
'Til Tuesday	Coming up Close: A Retrospective	6	Coming up Close	4:42	'Til Tuesday\Coming up Close- A Retrospective\06-Coming up Close.mp3	6769141
'Til Tuesday	Coming up Close: A Retrospective	7	Will She Just Fall Down	2:52	'Til Tuesday\Coming up Close- A Retrospective\07-Will She Just Fall Down.mp3	4149965
'Til Tuesday	Coming up Close: A Retrospective	9	What About Love	3:58	'Til Tuesday\Coming up Close- A Retrospective\09-What About Love.mp3	5723721
'Til Tuesday	Coming up Close: A Retrospective	11	The Other End (Of the Telescope)	3:52	'Til Tuesday\Coming up Close- A Retrospective\11-The Other End (Of the Telescope).mp3	5589791
'Til Tuesday	Coming up Close: A Retrospective	13	(Believed You Were) Lucky	3:38	'Til Tuesday\Coming up Close- A Retrospective\13-(Believed You Were) Lucky.mp3	5244854
10,000 Maniacs	None	None	Love Will Tear Us Apart	5:14	10,000 Maniacs\10000_maniacs-love_will_tear_us_apart_live.mp3	5024167
None	None	None	perfect	1:01	10,000 Maniacs\perfect.mp3	1223602
13th Floor Elevators	Easter Everywhere	1	Slip Inside This House	8:03	13th Floor Elevators\Easter Everywhere\01 Slip Inside This House.mp3	15470067
13th Floor Elevators	Easter Everywhere	2	Slide Machine	3:43	13th Floor Elevators\Easter Everywhere\02 Slide Machine.mp3	7152670
13th Floor Elevators	Easter Everywhere	3	She Lives In (A Time Of Her Own)	2:57	13th Floor Elevators\Easter Everywhere\03 She Lives In (A Time Of Her Own).mp3	5692340
13th Floor Elevators	Easter Everywhere	4	Nobody To Love	2:59	13th Floor Elevators\Easter Everywhere\04 Nobody To Love.mp3	5750836
13th Floor Elevators	Easter Everywhere	5	It's All Over Now, Baby Blue	5:17	13th Floor Elevators\Easter Everywhere\05 It's All Over Now, Baby Blue.mp3	10167843
13th Floor Elevators	Easter Everywhere	6	Earthquake	4:50	13th Floor Elevators\Easter Everywhere\06 Earthquake.mp3	9297634
13th Floor Elevators	Easter Everywhere	7	Dust	4:02	13th Floor Elevators\Easter Everywhere\07 Dust.mp3	7771241
13th Floor Elevators	Easter Everywhere	8	I've Got Levitation	2:40	13th Floor Elevators\Easter Everywhere\08 I've Got Levitation.mp3	5137277
13th Floor Elevators	Easter Everywhere	9	I Had To Tell You	2:28	13th Floor Elevators\Easter Everywhere\09 I Had To Tell You.mp3	4756096
The Association	The Association's Greatest Hits	6	Along Comes Mary	2:51	1960s\06 Along Comes Mary-.mp3	2754550
Jeannie C. Riley	Billboard Top 100 - 1968	11	Harper Valley P.T.A.	3:12	1960s\12_Jeannie_C_Riley_Harper_Valley_P_t_a_Plantation.mp3	3084307
The Fifth Dimension	Definitive Collection - Very	23	On The Beach (In The Summer Time)-	3:30	1960s\23 On The Beach (In The Summer Time)-.mp3	3373592
The Hollies	Billboard Top 100 - 1967	64	Carrie Anne	2:56	1960s\65_Hollies_Carrie_Anne.mp3	2833948
The American Breed	Billboard Top 100 - 1968	98	Bend Me, Shape Me	2:14	1960s\American Breed - Bend Me, Shape Me.mp3	2150604
Beau Brummels	Best Of 1964 - 1968	11	One Too Many Mornings	2:48	1960s\beau brummels - one too many mornings.mp3	3419487
Billy Joe Royal	Billboard Top 100 - 1965	52	Down In The Boondocks	2:36	1960s\Billy Joe Royal - Down in The Boondocks.mp3	2515478
Bobbie Gentry	Billboard Top 100 - 1967	3	Ode to Billie Joe	4:16	1960s\Bobbie Gentry - Ode To Billie Joe.mp3	4116279
Booker T. and the MGs	Billboard Top 100 - 1962	53	Green Onions	2:56	1960s\Booker T - Green Onions.mp3	2825192
Dick Dale And His Del-Tones	King Of The Surf Guitar	3	Misirlou	2:14	1960s\Dick Dale - Misirlou.mp3	2759555
Ella Fitzgerald	Get Happy!	4	Beat Me, Daddy, Eight To The Bar	2:30	1960s\Ella Fitzgerald - Beat Me Daddy Eight To The Bar.mp3	4877375
Elvis Presley	Elvis Presley - 30 #1 Hits (History CD2)	23	Return To Sender	2:11	1960s\Elvis Presley - Return To Sender.mp3	3591528
Ennio Morricone	A Fistful Of Film Music: Anthology [CD 1]	8	The Good, The Bad And The Ugly	2:43	1960s\Ennio Morricone - The Good, The Bad, and The Ugly.mp3	6596908
The Everly Brothers	Billboard Top 100 - 1962	47	Crying In The Rain	2:02	1960s\Everly Brothers-Crying_In_The_Rain.mp3	1971721
The Four Tops	Billboard Top 100 - 1965	83	It's The Same Old Song	2:49	1960s\Four Tops - It's the Same Old Song.mp3	2754971
The Fourmyula	HMV 45	None	Nature	2:51	1960s\Fourmyula_-_Nature.mp3	4151594
Gary Lewis & The Playboys	Billboard Top 100 - 1965	59	Save Your Heart For Me	2:03	1960s\Gary Lewis - Save Your Heart For Me.mp3	1988400
Glen Campbell	Capitol Years 65/77	13	Wichita Lineman	3:04	1960s\Glen Campbell - Wichita Lineman.mp3	3596203
Herman's Hermits	The Best Of	17	I'm Henry VII, I Am	1:45	1960s\Hermans Hermits - I'm Henry VII, I Am.mp3	2152008
Hugo Montenegro	Billboard Top 100 - 1968	8	The Good, the Bad and the Ugly	2:41	1960s\Hugo Montenegro - The Good, The Bad, and The Ugly.mp3	2584453
The Irish Rovers	Billboard Top 100 - 1968	76	The Unicorn	3:18	1960s\Irish Rovers - The Unicorn.mp3	3217410
Jim Reeves	The Essential	1	Four Walls	2:51	1960s\Jim Reeves - Four Walls.mp3	3919665
Jim Reeves	The Essential	2	He'll Have To Go	2:21	1960s\Jim Reeves - He'll Have To Go.mp3	2785886
John Barry	Anni Di Hit Parade (1962)	31	James Bond Theme	2:39	1960s\John Barry - James Bond Theme.mp3	3827026
John Fred & His Playboy Band 	Billboard Top 100 - 1968	25	Judy in Disguise (with Glasses) 	2:59	1960s\John Fred - Judy in Disguise.mp3	2884112
Johnny Cash	At Folsom Prison	1	Folsom Prison Blues (Live)	2:44	1960s\Johnny Cash - Folsom Prison Blues (Live).mp3	5150701
Judy Collins	Forever Changing: The Golden Age Of Elektra Records 1963-1973	53	Both Sides Now	3:14	1960s\Judy Collins - Both Sides Now.mp3	6269751
Kenny Rogers & the First Edition	Big Lebowski Soundtrack	8	Just Dropped In (To See What Condition My Condition Was In)	3:21	1960s\Kenny Rogers - Just Dropped In.mp3	3223104
The Kingston Trio	Billboard Top 100 - 1962	95	Where Have All The Flowers Gone	3:03	1960s\Kingston Trio - Where Have All The Flowers Gone.mp3	2942649
Loretta Lynn	Honky Tonk Girl: The Loretta Lynn Collection	29	You've Just Stepped In (From Stepping Out On Me)	2:18	1960s\Loretta Lynn - You Just Stepped In.mp3	2214168
Manfred Mann	The Very Best Of World Of Mann	14	The Mighty Quinn	2:51	1960s\Manfred Mann - The Mighty Quinn.mp3	4379074
Marty Robbins	Billboard Top 100 Hits - 1960	15	El Paso	4:38	1960s\Marty Robbins - El Paso.mp3	5566697
Marvin Gaye & Tammi Terrell 	Billboard Top 100 - 1968	57	Ain't Nothing Like the Real Thing	2:13	1960s\Marvin Gaye & Tammi Terrell - Ain't Nothing Like The Real Thing.mp3	2144371
